time,Pop,STAT3_MFI
5,Tnaive,0.9
5,Tnaive,0.9
5,Tnaive,1.0
5,Tnaive,1.0
5,Tnaive,1.1
5,Tscm,0.9
5,Tscm,0.9
5,Tscm,1.1
5,Tscm,1.1
5,Tscm,1.1
5,Tcm,1.0
5,Tcm,0.8
5,Tcm,1.0
5,Tcm,1.1
5,Tcm,1.0
5,Tem,0.9
5,Tem,0.8
5,Tem,1.0
5,Tem,1.1
5,Tem,1.1
5,Temra,0.9
5,Temra,0.8
5,Temra,1.0
5,Temra,1.0
5,Temra,1.1
15,Tnaive,1.0
15,Tnaive,1.0
15,Tnaive,1.0
15,Tnaive,0.9
15,Tnaive,0.9
15,Tscm,1.1
15,Tscm,1.0
15,Tscm,1.1
15,Tscm,1.2
15,Tscm,1.0
15,Tcm,1.0
15,Tcm,1.0
15,Tcm,1.0
15,Tcm,1.0
15,Tcm,1.0
15,Tem,1.0
15,Tem,1.1
15,Tem,1.0
15,Tem,0.9
15,Tem,1.0
15,Temra,1.0
15,Temra,1.1
15,Temra,1.0
15,Temra,0.9
15,Temra,1.0
30,Tnaive,1.2
30,Tnaive,1.0
30,Tnaive,1.1
30,Tnaive,0.8
30,Tnaive,1.0
30,Tscm,1.2
30,Tscm,1.0
30,Tscm,1.1
30,Tscm,1.4
30,Tscm,1.1
30,Tcm,1.1
30,Tcm,1.0
30,Tcm,1.1
30,Tcm,0.7
30,Tcm,1.1
30,Tem,1.2
30,Tem,1.0
30,Tem,1.1
30,Tem,0.9
30,Tem,1.0
30,Temra,1.2
30,Temra,1.1
30,Temra,1.1
30,Temra,1.0
30,Temra,1.0
60,Tnaive,0.9
60,Tnaive,1.1
60,Tnaive,1.1
60,Tnaive,1.0
60,Tnaive,0.9
60,Tscm,0.9
60,Tscm,1.0
60,Tscm,1.0
60,Tscm,1.1
60,Tscm,0.9
60,Tcm,1.0
60,Tcm,1.1
60,Tcm,1.0
60,Tcm,1.0
60,Tcm,0.8
60,Tem,1.0
60,Tem,1.2
60,Tem,1.0
60,Tem,1.0
60,Tem,0.9
60,Temra,1.0
60,Temra,1.2
60,Temra,1.0
60,Temra,1.0
60,Temra,0.9
